Фильм,Оптимистические высказывания,Скептические высказывания,Всего уверенных высказываний
Искусственный разум (2001),143,3,146
Она (2013),99,5,104
Бегущий по лезвию 2049 (2017),67,15,82
Превосходство (2014),59,23,82
Робот по имени Чаппи (2015),63,8,71
Бегущий по лезвию (1982),43,26,69
Из машины (2014),32,12,44
"Мир Дикого Запада (2016, сериал, 4 сезона)",29,11,40
"Чёрное зеркало (2011, сериал, 7 сезонов)",31,9,40
Призрак в доспехах (2017),32,7,39
Двухсотлетний человек (1999),36,0,36
"Я, робот (2004)",22,13,35
Страховщик (2014),7,14,21
2001 год: Космическая одиссея (1968),16,3,19
Алита: Боевой ангел (2019),16,1,17
Дитя робота (2018),10,4,14
Трон (1982),1,10,11
"Проект «Анна Николаевна» (2020, сериал, 3 сезона)",8,0,8
Экзистенция (1999),6,2,8
Теорема Зеро (2013),3,5,8
После Янга (2021),7,1,8
"Воспитанные волками (2020, сериал, 2 сезона)",4,4,8
Короткое замыкание (1986),7,0,7
"Приключения Электроника (1979, сериал, 1 сезон)",6,0,6
Анон (2017),1,5,6
Робот (2010),5,0,5
"Почти человек (2013, сериал, 1 сезон)",4,1,5
"Кибердеревня (2023, сериал, 2 сезона)",4,1,5
Мой создатель (2020),5,0,5
Ева: Искусственный разум (2011),4,0,4
Альфавиль (1965),4,0,4
Электрический штат (2025),0,4,4
Робо (2019),3,0,3
"Лучше, чем люди (2018, сериал, 1 сезон)",1,1,2
Робот и Фрэнк (2012),1,0,1
Компаньон (2025),0,1,1
"Люди (2015, сериал, 3 сезона)",1,0,1
